lat,lon,spring_T
41.5035,-103.4448,
46.3660374,-119.2916079,19.61
31.9601252,-103.3048152,
33.0867651,-115.30751,
31.5817968,-103.0507497,
34.530069,-108.4506342,
46.6969,-112.441,
31.2165675,-103.0693687,
31.9044118,-103.6173013,
31.8058744,-103.5154553,
32.158333,-103.0427332,
31.874327,-103.02231,
31.3072314,-103.1423353,
31.9133688,-103.051627,
31.7898204,-103.0800947,
31.8117953,-103.1009948,
32.5579552,-103.0206996,
35.1600533,-108.7106465,15.32
43.6821029,-113.0011666,14.7
43.6821029,-113.0011666,14.7
43.6821029,-113.0011666,14.7
43.6821029,-113.0011666,14.7
38.3166323,-117.5176264,
35.3303,-104.138,
40.811553,-118.4793209,14.6
31.8995823,-103.0213539,
32.250113,-111.1256911,
47.1418346,-119.48863,16.76
34.0500879,-106.9388877,
40.1869028,-117.508351,
42.0317,-103.1397,
43.5371108,-112.0713355,10.48
31.9443707,-103.0110581,
31.95073,-103.143943,
37.286,-104.9057,
43.7081195,-122.4261482,13.49
38.8618816,-118.1202579,
48.5999,-108.2108,
41.5681364,-122.882822,16.32
36.798,-109.7884,
38.276267,-112.8828952,
31.9134138,-103.1279683,
31.9310855,-103.9732134,
31.900315,-103.0682628,
31.8342168,-103.408561,
31.9535036,-103.0392206,
31.2971177,-103.0829289,
39.789596,-119.0089875,137.78
35.5000108,-114.5008115,
31.9443052,-103.070299,
31.7657074,-103.1306881,
39.6248957,-119.3476612,19.9
37.8689374,-117.8989312,60.26
31.9915791,-103.9765849,
37.6486734,-113.568508,25.0
31.5806199,-104.0229464,
39.9659131,-117.8544177,
31.4731752,-103.0962501,
48.1999,-112.5209,
31.8558816,-104.0821691,
31.688768,-103.0282806,
31.738968,-103.809999,
39.7566247,-115.5218886,23.92
39.7566247,-115.5218886,23.92
39.7566247,-115.5218886,23.92
39.7566247,-115.5218886,23.92
31.6786225,-103.0091774,
39.9999014,-118.0009623,8.3
31.7167409,-103.0589108,
33.4211,-103.0115,
31.8043348,-103.0954183,
31.6283222,-103.3282874,
44.0574,-115.6005,
31.7505886,-103.5740489,
46.960084,-114.0639531,31.7
31.8787664,-103.0937301,
40.5801962,-117.6581609,
33.523039,-103.0130761,
31.860473,-103.1124722,
